"myHashNum";"numCalls";"avgduration";"avgweekend1weekday0";"avgday1night0";"avgout1in0";"avgmissed1";"avgSMS1";"avgVoiceCall1";"avglongDuration1"
"2";"3";"51.0000";"0.0000";"0.6667";"0.6667";"0.0000";"0.3333";"0.6667";"0.0000"
"3";"2";"0.0000";"0.0000";"1.0000";"1.0000";"0.0000";"0.0000";"1.0000";"0.0000"
"4";"2648";"101.2847";"0.0423";"0.3731";"0.6307";"0.0000";"0.3259";"0.6741";"0.0110"
"5";"2943";"98.4366";"0.0387";"0.3520";"0.6837";"0.0000";"0.1475";"0.8525";"0.0065"
"6";"2211";"102.2551";"0.0583";"0.3804";"0.5902";"0.0000";"0.3442";"0.6558";"0.0086"
"8";"3627";"105.3559";"0.0706";"0.3135";"0.5310";"0.0000";"0.2013";"0.7987";"0.0088"
"9";"505";"150.3327";"0.0733";"0.7089";"0.6535";"0.0000";"0.1347";"0.8653";"0.0119"
"10";"1430";"85.0706";"0.0538";"0.5503";"0.6944";"0.0000";"0.0573";"0.9427";"0.0021"
"11";"1009";"140.0178";"0.0278";"0.5649";"0.5411";"0.0000";"0.0307";"0.9693";"0.0079"
"12";"2542";"169.3651";"0.0551";"0.4819";"0.6676";"0.0000";"0.1762";"0.8238";"0.0236"
"13";"979";"63.4627";"0.0480";"0.7753";"0.7334";"0.0000";"0.2962";"0.7038";"0.0031"
"14";"408";"93.6838";"0.0637";"0.5392";"0.6814";"0.0000";"0.0882";"0.9118";"0.0049"
"15";"631";"69.9620";"0.0269";"0.3344";"0.6434";"0.0000";"0.0602";"0.9398";"0.0000"
"16";"1154";"303.3276";"0.0711";"0.6646";"0.5797";"0.0000";"0.1395";"0.8605";"0.0589"
"17";"1707";"21.0668";"0.0814";"0.6415";"0.2748";"0.0000";"0.6520";"0.3480";"0.0000"
"18";"213";"89.9812";"0.0892";"0.4131";"0.6056";"0.0000";"0.1502";"0.8498";"0.0141"
"19";"776";"87.7307";"0.0580";"0.5219";"0.6585";"0.0000";"0.0361";"0.9639";"0.0052"
